"","Module","Trait","Correlation","Pval","FDR"
"104","MEsalmon","APOE4",0.0858356894028995,0.446106681777068,0.912414730149888
"105","MEsalmon","PMI_hrs",-0.0630373493149987,0.576110783506526,0.914654483330289
"106","MEsalmon","CERAD",0.124372130484449,0.268616994668903,0.919115574933375
"107","MEsalmon","BRAAK",0.0582271640723733,0.605618523154513,0.946679378401562
"108","MEsalmon","NIAREAGAN",0.188354345215392,0.0921913810143436,0.74338377914941
"109","MEpink","p75",-0.0891822052878308,0.428509970050806,0.819951169758296
"110","MEpink","TOC1",0.0891822052878308,0.428509970050806,0.819951169758296
"111","MEpink","age_death",0.154667865614637,0.16799126365398,0.556997756298548
"112","MEpink","Male",-0.0164997122616683,0.883764083926194,0.935750206510087
"113","MEpink","Female",0.0164997122616683,0.883764083926194,0.935750206510087
"114","MEpink","educ_yrs",0.251385942903902,0.0235867968209932,0.424562342777877
"115","MEpink","NCI",0.0336438080671882,0.765571574247975,0.981458247607914
"116","MEpink","MCI",0.147315582857732,0.189383099693335,0.898628929275848
"117","MEpink","AD",-0.175620408589744,0.116826958632002,0.77984685054651
"118","MEpink","MMSE",0.0983481910063639,0.38239253434765,0.980847599216258
"119","MEpink","GCS",0.153402979478183,0.171538812197154,0.515664591102417
"120","MEpink","APOE2",0.00712575895536384,0.949658344749978,0.965379293761985
"121","MEpink","APOE3",-0.0882756512952423,0.433237293717744,0.958844093554672
"122","MEpink","APOE4",0.0889103068702584,0.42992471454553,0.912414730149888
"123","MEpink","PMI_hrs",-0.070325993753549,0.532713277890283,0.914654483330289
"124","MEpink","CERAD",0.0603618526526488,0.592441432275679,0.919115574933375
"125","MEpink","BRAAK",0.107439069365502,0.339734725272444,0.946679378401562
"126","MEpink","NIAREAGAN",0.0518768233019789,0.645556050688692,0.952213388865865
"127","MEpurple","p75",-0.085147105937464,0.449776812720619,0.819951169758296
"128","MEpurple","TOC1",0.085147105937464,0.449776812720619,0.819951169758296
"129","MEpurple","age_death",0.138779575091945,0.216610238560546,0.556997756298548
"130","MEpurple","Male",-0.0560918149762681,0.618926901162852,0.915580913096101
"131","MEpurple","Female",0.0560918149762681,0.618926901162852,0.915580913096101
"132","MEpurple","educ_yrs",0.150506316386349,0.17986954532771,0.820716257513564
"133","MEpurple","NCI",0.073501868640404,0.514325105548202,0.981458247607914
"134","MEpurple","MCI",0.0839247504994557,0.456333098934729,0.898628929275848
"135","MEpurple","AD",-0.151428001252339,0.17718742427376,0.77984685054651
"136","MEpurple","MMSE",0.0614883462735217,0.585540184843773,0.980847599216258
"137","MEpurple","GCS",0.143719192931518,0.200536229873162,0.515664591102417
"138","MEpurple","APOE2",0.0345467955726911,0.759467617157457,0.965379293761985
"139","MEpurple","APOE3",0.097143872800772,0.388275563941144,0.958844093554672
"140","MEpurple","APOE4",-0.11610939462592,0.301960272895223,0.910962030308194
"141","MEpurple","PMI_hrs",-0.0555156498515604,0.622539141091879,0.914654483330289
"142","MEpurple","CERAD",-0.0452572274948935,0.688280319403637,0.919115574933375
"143","MEpurple","BRAAK",0.0398441525414575,0.723965456125205,0.946679378401562
"144","MEpurple","NIAREAGAN",-0.0435746381025155,0.69930423881168,0.952213388865865
"145","MEblue","p75",0.245810823654868,0.0269687586623964,0.121359413980784
"146","MEblue","TOC1",-0.245810823654868,0.0269687586623964,0.121359413980784
"147","MEblue","age_death",-0.0262499580103986,0.816058280400227,0.827836003203277
"148","MEblue","Male",-0.0265708808509977,0.813849700529868,0.915580913096101
"149","MEblue","Female",0.0265708808509977,0.813849700529868,0.915580913096101
"150","MEblue","educ_yrs",-0.124209984182832,0.269246457623781,0.820716257513564
"151","MEblue","NCI",0.04365989448529,0.698744138236388,0.981458247607914
"152","MEblue","MCI",-0.0643125833611606,0.568401088879257,0.898628929275848
"153","MEblue","AD",0.0214972784473762,0.848924913569218,0.936926876555345
"154","MEblue","MMSE",-0.0887020075834034,0.431010337002231,0.980847599216258
"155","MEblue","GCS",-0.134045213884799,0.232850202628916,0.52391295591506
"156","MEblue","APOE2",-0.0552221082460099,0.624382926526072,0.965379293761985
"157","MEblue","APOE3",0.0767479860112787,0.495870606737678,0.958844093554672
"158","MEblue","APOE4",-0.0561718347431437,0.618425931687221,0.912414730149888
"159","MEblue","PMI_hrs",0.0678876571291207,0.547049150523488,0.914654483330289
"160","MEblue","CERAD",-0.00568519151414163,0.959826073573416,0.959826073573416
"161","MEblue","BRAAK",0.0126751348511966,0.910579487764808,0.946679378401562
"162","MEblue","NIAREAGAN",-0.00287834542145844,0.979654140934313,0.979654140934313
"163","MEturquoise","p75",0.0368532129590154,0.743944212203322,0.852818682426748
"164","MEturquoise","TOC1",-0.0368532129590154,0.743944212203322,0.852818682426748
"165","MEturquoise","age_death",0.0657914481382907,0.559521374366038,0.794532456874472
"166","MEturquoise","Male",-0.0643411020531835,0.56822922779225,0.915580913096101
"167","MEturquoise","Female",0.0643411020531835,0.56822922779225,0.915580913096101
"168","MEturquoise","educ_yrs",-0.208963999733498,0.061183011618734,0.550647104568606
"169","MEturquoise","NCI",0.0216789987407646,0.847663119774284,0.981458247607914
"170","MEturquoise","MCI",-0.103166697877422,0.359395554339355,0.898628929275848
"171","MEturquoise","AD",0.0802108124654201,0.476573075333979,0.77984685054651
"172","MEturquoise","MMSE",-0.086255743541672,0.443876045453637,0.980847599216258
"173","MEturquoise","GCS",-0.173978999381079,0.120340497613099,0.515664591102417
"174","MEturquoise","APOE2",-0.00489880741487242,0.965379293761985,0.965379293761985
"175","MEturquoise","APOE3",0.0735081770514857,0.51428890504933,0.958844093554672
"176","MEturquoise","APOE4",-0.074482646415081,0.508712607505723,0.912414730149888
"177","MEturquoise","PMI_hrs",0.051445323644216,0.648308222475806,0.914654483330289
"178","MEturquoise","CERAD",0.0770371558503489,0.494243633665545,0.919115574933375
"179","MEturquoise","BRAAK",-0.0354105900804101,0.753642310676359,0.946679378401562
"180","MEturquoise","NIAREAGAN",0.0784803186896643,0.486165929169251,0.952213388865865
"181","MEbrown","p75",-0.0308981252331413,0.784218106699242,0.852818682426748
"182","MEbrown","TOC1",0.0308981252331413,0.784218106699242,0.852818682426748
"183","MEbrown","age_death",-0.024542015421236,0.827836003203277,0.827836003203277
"184","MEbrown","Male",0.082344918262204,0.464884286758475,0.915580913096101
"185","MEbrown","Female",-0.082344918262204,0.464884286758475,0.915580913096101
"186","MEbrown","educ_yrs",-0.0156160363934565,0.889949362127616,0.942299324605711
"187","MEbrown","NCI",0.0163102136139831,0.885089905038469,0.981458247607914
"188","MEbrown","MCI",-0.0989215318629587,0.37961073256357,0.898628929275848
"189","MEbrown","AD",0.0811433411325471,0.471446162074161,0.77984685054651
"190","MEbrown","MMSE",-0.0293552896840901,0.79475016510875,0.980847599216258
"191","MEbrown","GCS",-0.108551232482687,0.334729853329392,0.669459706658784
"192","MEbrown","APOE2",-0.0665514707820809,0.554983715738734,0.965379293761985
"193","MEbrown","APOE3",-0.0141580446537551,0.900168762308344,0.967935844245649
"194","MEbrown","APOE4",0.0434324218446746,0.70023890028362,0.912414730149888
"195","MEbrown","PMI_hrs",0.0269626106689284,0.811155797256139,0.914654483330289
"196","MEbrown","CERAD",0.0335909029982312,0.765929645777812,0.919115574933375
"197","MEbrown","BRAAK",0.0132292941926615,0.90668716995567,0.946679378401562
"198","MEbrown","NIAREAGAN",0.0215795704004298,0.848353463580969,0.952213388865865
"199","MEgreenyellow","p75",-0.0400537782960396,0.72257191995678,0.852818682426748
"200","MEgreenyellow","TOC1",0.0400537782960396,0.72257191995678,0.852818682426748
"201","MEgreenyellow","age_death",-0.0425192282744939,0.706251072777308,0.794532456874472
"202","MEgreenyellow","Male",0.123283047471419,0.272863945187847,0.915580913096101
"203","MEgreenyellow","Female",-0.123283047471419,0.272863945187847,0.915580913096101
"204","MEgreenyellow","educ_yrs",0.0884466999351901,0.432343084253701,0.820716257513564
"205","MEgreenyellow","NCI",-0.00377978191654742,0.973284308722778,0.981458247607914
"206","MEgreenyellow","MCI",-0.0573463475700379,0.611092917979484,0.898628929275848
"207","MEgreenyellow","AD",0.0595548408578603,0.597407819016084,0.896111728524126
"208","MEgreenyellow","MMSE",0.0703687922582957,0.532463325322286,0.980847599216258
